Format Version,1.1,Take Name,13_concentric_diamonds_1mps_cal,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-09-13 08.12.11.869 PM,Total Frames,4140,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,1,1,1,1,2,2,2,2,3,3,3,3,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_4,Rigid Body 2_4,Rigid Body 2_4,Marker_10007,Marker_10007,Marker_10007,Marker_10010,Marker_10010,Marker_10010,Marker_10014,Marker_10014,Marker_10014,Marker_10009,Marker_10009,Marker_10009
,,"8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","8B8CBC04111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","DF7EC53A111111EC6E6FD9C3D17C5382","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000004","8392B20CF49E3573200000004","8392B20CF49E3573200000004","8392B20CF49E35702717","8392B20CF49E35702717","8392B20CF49E35702717","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.087735,0.000059,0.009684,0.996097,-0.196869,1.198841,0.083767,0.000203,-0.196608,1.139783,0.017658,0.000000,-0.197248,1.257450,0.149939,0.797098,-0.197034,1.258632,0.018513,0.451880,-0.196585,1.139499,0.148958,0.420488,,,,,,,,,,,,,,,,,,,,,-0.196925,1.139325,0.018138,-0.197309,1.257476,0.149915,-0.196948,1.258667,0.018558,-0.196458,1.139437,0.148935,-0.132227,2.406173,1.457678,-0.145995,2.442924,-1.439788,-0.133158,0.013883,1.427967,-0.132368,0.047802,-1.470030
1,0.008333,0.087587,0.000074,0.009660,0.996110,-0.196889,1.198831,0.083779,0.000216,-0.196633,1.139754,0.017688,0.000000,-0.197264,1.257459,0.149934,0.731301,-0.197054,1.258603,0.018508,0.459518,-0.196606,1.139508,0.148988,0.415592,,,,,,,,,,,,,,,,,,,,,-0.196945,1.139331,0.018159,-0.197354,1.257481,0.149891,-0.196955,1.258658,0.018566,-0.196462,1.139429,0.148937,-0.132231,2.406173,1.457678,-0.145969,2.442960,-1.439819,-0.133172,0.013873,1.427935,-0.132370,0.047828,-1.470001
2,0.016667,0.087616,-0.000120,0.009585,0.996108,-0.196896,1.198832,0.083770,0.000214,-0.196626,1.139759,0.017675,0.000000,-0.197285,1.257456,0.149928,0.724077,-0.197026,1.258608,0.018502,0.424608,-0.196648,1.139505,0.148974,0.386377,,,,,,,,,,,,,,,,,,,,,-0.196953,1.139334,0.018152,-0.197367,1.257487,0.149893,-0.196917,1.258657,0.018561,-0.196485,1.139423,0.148961,-0.132231,2.406173,1.457665,-0.145819,2.443003,-1.440017,-0.133158,0.013869,1.427949,-0.132432,0.047877,-1.469927
3,0.025000,0.087557,-0.000044,0.009410,0.996115,-0.196904,1.198840,0.083797,0.000214,-0.196666,1.139759,0.017709,0.000000,-0.197261,1.257473,0.149948,0.739444,-0.197026,1.258609,0.018522,0.440574,-0.196665,1.139521,0.149008,0.374148,,,,,,,,,,,,,,,,,,,,,-0.196971,1.139347,0.018170,-0.197359,1.257501,0.149915,-0.196915,1.258672,0.018569,-0.196501,1.139432,0.148965,-0.132254,2.406179,1.457671,-0.146092,2.442915,-1.439692,-0.133199,0.013899,1.427908,-0.132269,0.047736,-1.470194
4,0.033333,0.087824,0.000021,0.009446,0.996091,-0.196860,1.198866,0.083779,0.000205,-0.196626,1.139820,0.017660,0.000000,-0.197213,1.257463,0.149962,0.806669,-0.196995,1.258669,0.018536,0.465678,-0.196607,1.139512,0.148959,0.416917,,,,,,,,,,,,,,,,,,,,,-0.196980,1.139346,0.018156,-0.197278,1.257492,0.149933,-0.196908,1.258692,0.018567,-0.196481,1.139453,0.148938,-0.132242,2.406166,1.457679,-0.145915,2.442988,-1.439883,-0.133195,0.013896,1.427890,-0.132345,0.047810,-1.470073
5,0.041667,0.087859,-0.000110,0.009459,0.996088,-0.196842,1.198880,0.083768,0.000197,-0.196590,1.139839,0.017645,0.000000,-0.197213,1.257472,0.149955,0.817420,-0.196960,1.258688,0.018530,0.497960,-0.196606,1.139521,0.148944,0.440178,,,,,,,,,,,,,,,,,,,,,-0.196968,1.139366,0.018164,-0.197261,1.257500,0.149931,-0.196877,1.258687,0.018557,-0.196499,1.139482,0.148949,-0.132218,2.406173,1.457671,-0.145989,2.442941,-1.439782,-0.133188,0.013900,1.427930,-0.132220,0.047732,-1.470226
